emoticon,meaning,,,
#-),,,,
#:-),,,,
$-),,,,
%'),,,,
%-),,,,
&amp;:-),,,,
&gt;-),,,,
&gt;:),,,,
&gt;:-(,,,,
&gt;:-),,,,
&gt;:P,,,,
&lt;&gt;&lt;,,,,
&lt;(-_-)&gt;,,,,
&lt;3,,,,
&lt;:-),,,,
'-),,,,
( '}{' ),,,,
(&gt;.&lt;),,,,
(-),,,,
(-:,,,,
(:)-),,,,
(:-(,,,,
(:-),,,,
(:I,,,,
(:|,,,,
(@),,,,
(@_@),,,,
(^o^),,,,
):-(,,,,
*&lt;|:-),,,,
*:o),,,,
+-(:-),,,,
",-)",,,,
-:-),,,,
/:-),,,,
0-),,,,
0:-),,,,
3:],,,,
7:-),,,,
8),,,,
8-),,,,
8-|,,,,
8:-),,,,
8:],,,,
:&gt;,,,,
:&gt;),,,,
:&quot;),,,,
:'(,,,,
:'-(,,,,
:'-),,,,
:(,,,,
:(),,,,
:),,,,
:*(,,,,
:*),,,,
:-!,,,,
:-#,,,,
:-#|,,,,
:-$,,,,
:-%,,,,
:-&amp;,,,,
:-&gt;,,,,
:-&lt;,,,,
:-(,,,,
:-(*),,,,
:-(=),,,,
:-),,,,
:-)&gt;,,,,
:-)),,,,
:-))),,,,
:-)X,,,,
:-)~,,,,
:-*,,,,
":-,",,,,
:-.),,,,
:-/,,,,
:-0,,,,
:-1,,,,
:-6,,,,
:-7,,,,
:-9,,,,
:-=),,,,
:-?,,,,
:-@,,,,
:-B,,,,
:-C,,,,
:-D,,,,
:-E,,,,
:-I,,,,
:-J,,,,
:-O,,,,
:-P,,,,
:-Q,,,,
:-S,,,,
:-T,,,,
:-X,,,,
:-[,,,,
:-\,,,,
:-],,,,
:-`,,,,
:-c,,,,
:-o,,,,
:-p,,,,
:-r,,,,
:-s,,,,
:-t,,,,
:-x,,,,
:-{,,,,
:-{),,,,
:-{},,,,
:-|,,,,
:-},,,,
:/),,,,
:0,,,,
:3,,,,
::-),,,,
:=),,,,
:@,,,,
:@),,,,
:O,,,,
:O),,,,
:P,,,,
:[,,,,
:^),,,,
:o),,,,
:|,,,,
:~),,,,
;),,,,
;-&gt;,,,,
;-(,,,,
;-),,,,
?-(,,,,
?:-),,,,
??,,,,
?_?,,,,
@&gt;--;--,,,,
@-),,,,
@:-),,,,
O-),,,,
O:-),,,,
P-),,,,
Q:-),,,,
[:-),,,,
\_/,,,,
\m/,,,,
]:-&gt;,,,,
^-^,,,,
^5,,,,
^^,,,,
d:-),,,,
{(:-),,,,
{:-),,,,
|-),,,,
|-O,,,,
|:-),,,,
}:-),,,,
~o),,,,
~~:-(,,,,
